Advisory URL,Vendor,Equipment,Affected Products,CVE URLs
https://www.cisa.gov/news-events/ics-advisories/icsa-23-313-02,Hitachi Energy,eSOMS,['eSOMS: v6.3.13 and prior'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5514', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5515', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5516']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-313-01,Johnson Controls Inc.,Quantum HD Unity,"['Quantum HD Unity Compressor control panels (Q5): All versions prior to v11.22', 'Quantum HD Unity Compressor control panels (Q6): All versions prior to v12.22', 'Quantum HD Unity AcuAir control panels(Q5): All versions prior to v11.12', 'Quantum HD Unity AcuAir control panels(Q6): All versions prior to v12.12', 'Quantum HD Unity Condenser/Vessel control panels (Q5): All versions prior to v11.11', 'Quantum HD Unity Condenser/Vessel control panels (Q6): All versions prior to v12.11', 'Quantum HD Unity Evaporator control panels (Q5): All versions prior to v11.11', 'Quantum HD Unity Evaporator control panels (Q6): All versions prior to v12.11', 'Quantum HD Unity Engine Room control panels (Q5): All versions prior to v11.11', 'Quantum HD Unity Engine Room control panels (Q6): All versions prior to v12.11', 'Quantum HD Unity Interface control panels (Q5): All versions prior to v11.11', 'Quantum HD Unity Interface control panels (Q6): All versions prior to v12.11']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4804']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-311-01,General Electric,MiCOM S1 Agile,['MiCOM S1 Agile: All versions'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-0898']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-06,Schneider Electric,SpaceLogic C-Bus Toolkit,['SpaceLogic C-Bus Toolkit: Versions 1.16.3 and prior'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5402', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5399']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-05,Weintek,EasyBuilder Pro,"['EasyBuilder Pro: Versions prior to v6.07.02', 'EasyBuilder Pro: Versions 6.08.01.592 and prior', 'EasyBuilder Pro: Versions 6.08.02.470 and prior']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5777']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-04,Franklin Fueling System,TS-550,['TS-550: All versions prior to 1.9.23.8960'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5846']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-03,Mitsubishi Electric Corporation,MELSEC Series,"['MELSEC-F series FX3U-xMy/z x=16,32,48,64,80,128, y=T,R, z=ES,ESS,DS,DSS: All versions', 'MELSEC-F series FX3U-32MR/UA1, FX3U-64MR/UA1: All versions', 'MELSEC-F series FX3U-32MS/ES, FX3U-64MS/ES: All versions', 'MELSEC-F series FX3U-xMy/ES-A x=16,32,48,64,80,128, y=T,R: All versions', 'MELSEC-F series FX3UC-xMT/z x=16,32,64,96, z=D,DSS: All versions', 'MELSEC-F series FX3UC-16MR/D-T, FX3UC-16MR/DS-T: All versions', 'MELSEC-F series FX3UC-32MT-LT, FX3UC-32MT-LT-2: All versions', 'MELSEC-F series FX3UC-16MT/D-P4, FX3UC-16MT/DSS-P4: All versions', 'MELSEC-F series FX3G-xMy/z x=14,24,40,60, y=T,R, z=ES,ESS,DS,DSS: All versions', 'MELSEC-F series FX3G-xMy/ES-A x=14,24,40,60, y=T,R: All versions', 'MELSEC-F series FX3GC-32MT/D, FX3GC-32MT/DSS: All versions', 'MELSEC-F series FX3GE-xMy/z x=24,40, y=T,R, z=ES,ESS,DS,DSS: All versions', 'MELSEC-F series FX3GA-xMy-CM x=24,40,60, y=T,R: All versions', 'MELSEC-F series FX3S-xMy/z x=10,14,20,30, y=T,R, z=ES,ESS,DS,DSS: All versions', 'MELSEC-F series FX3S-30My/z-2AD y=T,R, z=ES,ESS: All versions', 'MELSEC-F series FX3SA-xMy-CM x=10,14,20,30, y=T,R: All versions', 'MELSEC iQ-F series FX5U-xMy/z x=32,64,80, y=T,R, z=ES,DS,ESS,DSS: All versions', 'MELSEC iQ-F series FX5UC-xMy/z x=32,64,96, y=T, z=D,DSS: All versions', 'MELSEC iQ-F series FX5UC-32MT/DS-TS, FX5UC-32MT/DSS-TS, FX5UC-32MR/DS-TS: All versions', 'MELSEC iQ-F series FX5UJ-xMy/z x=24,40,60, y=T,R, z=ES,ESS,DS,DSS: All versions', 'MELSEC iQ-F series FX5UJ-xMy/ES-A x=24,40,60, y=T,R: All versions', 'MELSEC iQ-F series FX5S-xMy/z x=30,40,60,80, y=T,R, z=ES,ESS: All versions']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4699']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-02,,MELSEC iQ-F Series,"['FX5U-xMy/z x=32,64,80, y=T,R, z=ES,DS,ESS,DSS (Serial number 17X**** and later): All versions', 'FX5U-xMy/z x=32,64,80, y=T,R, z=ES,DS,ESS,DSS (Serial number 179**** and prior): Versions 1.060 or later', 'FX5UC-xMy/z x=32,64,96, y=T, z=D,DSS (Serial number 17X**** and later): All versions', 'FX5UC-xMy/z x=32,64,96, y=T, z=D,DSS (Serial number 179**** and prior): Versions 1.060 or later', 'FX5UC-32MT/DS-TS, FX5UC-32MT/DSS-TS, FX5UC-32MR/DS-TS: All versions', 'FX5UJ-xMy/z x=24,40,60, y=T,R, z=ES,DS,ESS,DSS: All versions', 'FX5UJ-xMy/ES-A* x=24,40,60, y=T,R: All versions', 'FX5S-xMy/z x=30,40,60,80*, y=T,R, z=ES,ESS: All versions']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4625']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-306-01,Red Lion,"FlexEdge Gateway, DA50A, DA70A running Crimson",['Crimson: v3.2.0053.18 or prior'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5719']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-304-03,Zavio,IP Camera,"['CF7500: version M2.1.6.05', 'CF7300: version M2.1.6.05', 'CF7201: version M2.1.6.05', 'CF7501: version M2.1.6.05', 'CB3211: version M2.1.6.05', 'CB3212: version M2.1.6.05', 'CB5220: version M2.1.6.05', 'CB6231: version M2.1.6.05', 'B8520: version M2.1.6.05', 'B8220: version M2.1.6.05', 'CD321: version M2.1.6.05']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-3959', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-45225', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-43755', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-39435', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-4249']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-304-02,INEA,ME RTU,['ME RTU: versions 3.36b and prior'],"['https://nvd.nist.gov/vuln/detail/CVE-2023-35762', 'https://nvd.nist.gov/vuln/detail/CVE-2023-29155']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-07,Sielco,PolyEco1000,"['PolyEco1000: CPU:2.0.6 FPGA:10.19', 'PolyEco1000: CPU:1.9.4 FPGA:10.19', 'PolyEco1000: CPU:1.9.3 FPGA:10.19', 'PolyEco500: CPU:1.7.0 FPGA:10.16', 'PolyEco300: CPU:2.0.2 FPGA:10.19', 'PolyEco300: CPU:2.0.0 FPGA:10.19']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-0897', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-5754', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46661', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46662', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46663', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46664', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46665']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-08,Sielco,Analog FM Transmitters and Radio Link,"['Analog FM transmitter: 2.12 (EXC5000GX)', 'Analog FM transmitter: 2.12 (EXC120GX)', 'Analog FM transmitter: 2.11 (EXC300GX)', 'Analog FM transmitter: 2.10 (EXC1600GX)', 'Analog FM transmitter: 2.10 (EXC2000GX)', 'Analog FM transmitter: 2.08 (EXC1600GX)', 'Analog FM transmitter: 2.08 (EXC1000GX)', 'Analog FM transmitter: 2.07 (EXC3000GX)', 'Analog FM transmitter: 2.06 (EXC5000GX)', 'Analog FM transmitter: 1.7.7 (EXC30GT)', 'Analog FM transmitter: 1.7.4 (EXC300GT)', 'Analog FM transmitter: 1.7.4 (EXC100GT)', 'Analog FM transmitter: 1.7.4 (EXC5000GT)', 'Analog FM transmitter: 1.6.3 (EXC1000GT)', 'Analog FM transmitter: 1.5.4 (EXC120GT)', 'Radio Link: 2.06 (RTX19)', 'Radio Link: 2.05 (RTX19)', 'Radio Link: 2.00 (EXC19)', 'Radio Link: 1.60 (RTX19)', 'Radio Link: 1.59 (RTX19)', 'Radio Link: 1.55 (EXC19)']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-42769', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-45317', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-45228', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-41966']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-06,Rockwell Automation,FactoryTalk Services Platform,['FactoryTalk Services Platform: v2.74'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46290']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-05,Rockwell Automation,FactoryTalk View Site Edition,['FactoryTalk View Site Edition: V11.0'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-46289']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-04,Rockwell Automation,Arena,['Arena: Version 16.20.00001'],"['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-27854', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-27858']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-03,Ashlar-Vellum,"Cobalt, Graphite, Xenon, Argon, Lithium, and Cobalt Share","['Cobalt: v12 SP0 Build (1204.77) and prior', 'Graphite: v13.0.48 and prior', 'Xenon: v12 SP0 Build (1204.77) and prior', 'Argon: v12 SP0 Build (1204.77) and prior', 'Lithium: v12 SP0 Build (1204.77) and prior']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-39427', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-39936']"
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-02,Centralite,Pearl Thermostat,['Pearl Thermostat: version 0x04075010'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-24678']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-299-01,Dingtian,DT-R002,['DT-R002: version 3.1.276A'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2022-29593']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-297-01,Rockwell Automation,Stratix 5800 and Stratix 5200,"['Stratix 5800 (running Cisco IOS XE Software with the Web UI feature enabled): All versions', 'Stratix 5200 (running Cisco IOS XE Software with the Web UI feature enabled): All versions']",['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-20198']
https://www.cisa.gov/news-events/ics-advisories/icsa-23-290-02,Rockwell Automation,FactoryTalk Linx,['FactoryTalk Linx: v6.20 and prior'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2023-29464']
